NaN,0.168,0.608,1.015,0.005,0.63,0.038,0.905,1.025,0.845,0.963,0.928,0.879,1.274,1.044,1.048,0.869,0.088,NaN,0.996,0.845,0.003,0.509,NaN,0.716,1.104,0.457,0.888,0.015,0.618,0.44,0.712,0.007,NaN,NaN,0.031,0.62,0.846,0.724,1.12,0.521,0.693,0.759,1.14,0.782,0.667,0.785,0.937,0.57,0.693,0.822
0.016,0.004,0.076,0.001,NaN,NaN,0.012,0.059,0.075,0.005,0.011,0.019,0.078,0.01,0.009,0.004,NaN,NaN,0.012,NaN,1.141,0.004,0.032,NaN,NaN,0.435,NaN,0.005,0.002,0.007,0.002,0.005,0.007,0.011,0.019,NaN,1.096,0.81,0.505,1.054,0.576,0.707,0.631,0.563,1.088,0.576,1.005,0.913,0.589,1.099,0.572
0.744,0.032,0.737,0.918,0.001,NaN,0.744,0.878,0.004,0.189,0.079,0.497,0.553,NaN,0.917,0.998,0.376,NaN,0.005,0.008,0.99,NaN,0.103,0.002,0.644,0.065,0.074,0.911,0,NaN,0.002,0.837,0.346,NaN,0.046,0.947,0.933,0.612,1.018,0.653,0.996,0.853,0.885,0.736,1.002,1.007,0.702,1.002,0.99,0.891,0.58
1.198,0.644,0.666,1.062,NaN,0.279,0.72,1.139,0.849,0.158,1.054,0.97,0.915,0.498,0.745,0.522,0.986,0.787,0.32,1.232,0.461,NaN,0.256,0.413,0.012,0.798,0.073,0.569,0,0.701,0.001,NaN,0,NaN,0.189,0.026,0.785,0.624,0.719,0.676,1.096,0.921,0.845,0.99,0.574,0.934,0.868,0.928,0.993,0.845,0.716
1.265,0.109,0.527,0.279,NaN,0.58,0.299,0.34,0.145,0.75,0.863,1.151,1.035,0.977,0.672,1.167,NaN,1.105,0.718,NaN,0.611,0.057,0.958,0.847,0.054,0.555,0.277,0.381,0.009,0.246,0.91,0.947,NaN,NaN,NaN,0.04,0.739,0.959,0.807,1.098,0.971,0.815,0.623,0.839,0.705,0.625,0.748,0.912,1.075,0.794,0.79
NaN,0.151,0.587,NaN,0.006,0.026,0.737,0.134,1.253,0.253,1.021,0.719,1.009,0.379,0.079,0.459,0.039,0.62,NaN,0.047,NaN,NaN,0.116,0.456,NaN,0.841,0.003,0.497,NaN,0.13,0.193,NaN,0.046,0.412,NaN,0.002,,,,,,,,,,,,,,,
0.758,0.155,0.569,0.869,NaN,0.412,0.571,0.717,0.851,1.057,0.778,0.538,0.65,0.908,1.039,0.381,0.753,NaN,0.632,0.29,0.61,0.002,0.258,NaN,0.063,0.311,0.075,0.36,0.191,0.569,0.62,0.503,NaN,0.364,NaN,0.346,,,,,,,,,,,,,,,
0.882,0.266,0.426,1.013,NaN,0.011,0.171,0.482,0.121,0.688,0.776,1.185,0.522,0.015,0.725,1.197,0.452,0.426,0.071,0.025,1.191,NaN,0.003,0.021,0.697,0.102,0.128,0.001,0.002,NaN,NaN,0.807,NaN,0.001,0.01,0.024,,,,,,,,,,,,,,,
0.951,0.33,0.425,0.677,0.333,0.287,0.526,0.707,0.401,0.696,1.065,1.073,0.379,0.763,0.746,0.065,NaN,0.688,0.833,NaN,0.66,NaN,0.492,NaN,0.72,0.095,0.009,0.502,0.022,0.566,0.003,1.259,NaN,NaN,0.474,NaN,,,,,,,,,,,,,,,
0.927,0.079,0.817,0.801,NaN,0.304,0.514,1.079,0.255,NaN,0.097,0.628,NaN,0.068,0.011,0.759,0.268,NaN,NaN,1.087,NaN,NaN,0.115,0.097,0.116,0.604,0.018,0.375,0.159,0.393,0.014,0.032,NaN,0.08,0.985,NaN,,,,,,,,,,,,,,,
0.861,0.92,NaN,0.768,NaN,0.48,NaN,0.57,0.718,0.96,0.97,0.022,NaN,0.003,0.216,0.57,1.137,NaN,NaN,0.847,0.779,0.672,0.204,NaN,NaN,0.216,0.296,0.05,0.007,0.364,1.167,NaN,NaN,NaN,NaN,0.339,,,,,,,,,,,,,,,
0.107,0.077,0.34,0.417,NaN,0.098,NaN,0.583,NaN,0.296,0.63,0.001,0.216,NaN,1.072,0.471,0.004,NaN,0.933,0.004,0.499,0.374,0.024,0.002,0.004,0.706,0.002,0.071,0.002,0,NaN,0,0.013,NaN,NaN,NaN,,,,,,,,,,,,,,,
0.979,0.357,1.21,0.536,NaN,0.369,0.543,0.531,0.197,NaN,0.133,0.601,0.008,0.201,0.381,0.256,0.277,0.331,0.14,NaN,0.883,0.036,0.565,NaN,NaN,NaN,0.015,0.583,0.055,0.415,0.254,0.556,NaN,0.883,NaN,NaN,,,,,,,,,,,,,,,
0.639,0.064,0.365,0.514,NaN,0.29,0.513,0.745,0.971,0.842,1.003,0.941,0.003,0.271,0.744,0.775,0.909,0.523,0.418,0.072,0.901,NaN,NaN,0.155,0.263,0.095,0.846,0.513,0.627,0.754,0.575,0.545,NaN,0.369,NaN,NaN,,,,,,,,,,,,,,,
0.211,NaN,0.935,0.245,NaN,NaN,0.039,0.146,0.77,0.475,0.242,0.319,0.655,0.483,0.645,0.873,0.414,NaN,0.232,0.586,0.036,0.029,0.426,0.444,0.073,0.472,NaN,0.475,0.018,0.374,0.005,0.638,0.002,0.018,NaN,0.633,,,,,,,,,,,,,,,
1.132,0.255,0.348,1.183,0.025,0.835,1.027,0.836,NaN,0.902,0.052,1.236,0.577,0.775,0.838,0.778,0.981,0.761,0.698,0.28,0.236,0.003,0.185,0.194,0.585,0.688,0.014,0.026,0.101,1.035,0.364,0.898,0.003,NaN,0.668,0.97,,,,,,,,,,,,,,,
0.256,0.003,0.273,0.36,0.016,0.714,0.011,NaN,0.538,0.382,0.622,0.547,0.096,NaN,0.797,0.986,NaN,1.054,0.766,NaN,0.707,0,0.81,NaN,0.915,0.147,0.011,0.056,0.01,0.412,0.05,0.661,NaN,NaN,NaN,0.016,,,,,,,,,,,,,,,
0.183,0.039,0.145,NaN,NaN,0.057,0.065,NaN,0.068,NaN,0.911,0.48,0.615,0.235,1.183,0.951,0.513,NaN,0.603,0.997,0.485,0.561,0.174,NaN,NaN,0.032,0.075,0.073,0.002,NaN,0.073,0.005,NaN,NaN,0.159,NaN,,,,,,,,,,,,,,,
0.314,0.15,0.143,0.768,NaN,0.16,0.478,0.241,0.287,0.615,0.104,1.23,0.003,0.11,0.536,0.437,0.326,0.277,NaN,0.474,NaN,0.561,0.472,0.335,0.049,NaN,0.006,0.707,0.025,0.558,0.397,0.576,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,
NaN,0.217,0.062,0.566,NaN,0.169,0.01,0.494,0.462,1.066,0.156,0.035,0.017,NaN,0.893,0.821,0.569,NaN,1.281,0.159,1.142,0.247,0.081,NaN,0.045,0.066,0.023,0.025,0.038,0.182,0.015,0.199,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,
0.67,NaN,NaN,1.157,0.007,0.159,NaN,0.405,0.227,0.47,0.978,0.295,0.007,1,NaN,0.604,NaN,NaN,NaN,NaN,1.23,NaN,0.425,0.287,0.227,0.219,0.009,0.285,0.156,0.558,0.166,0.066,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,
0.986,0.375,NaN,0.013,0.013,0.579,NaN,NaN,0.071,0.847,1.205,0.725,0.858,0.462,0.805,0.926,NaN,NaN,NaN,NaN,1.284,0.8,0.048,0.343,0.304,0.084,0.195,0.709,0.791,0.678,0.092,0.798,0.038,0.277,NaN,0.724,,,,,,,,,,,,,,,
0.64,NaN,NaN,0.534,0.07,0.348,0.395,0.305,0.542,0.002,0.552,0.955,0.052,1.019,NaN,1.257,NaN,NaN,NaN,NaN,1.063,0.007,0.294,0.412,0.033,0.562,0.174,0.092,0.189,0.03,0.229,0.258,0.003,0.352,0.766,NaN,,,,,,,,,,,,,,,
NaN,0.161,0.981,0.6,0.264,0.192,0.543,0.324,0.718,0.64,1.019,0.435,0.905,0.392,0.775,1.16,NaN,NaN,NaN,NaN,1.195,NaN,0.181,0.163,0.005,0.056,0.045,0.103,0.035,0.723,0.461,0.038,0.575,0.491,0.933,NaN,,,,,,,,,,,,,,,
NaN,NaN,NaN,0.783,NaN,NaN,0.163,0.217,0.103,1.071,0.444,NaN,NaN,0.56,0.225,NaN,0.098,NaN,NaN,NaN,0.467,NaN,0.139,NaN,0.227,0.383,0.058,0.239,0.086,0.489,0.251,1.042,0.104,1.322,0.395,0.084,,,,,,,,,,,,,,,
0.168,0.579,0.528,NaN,0.014,0.201,0.42,0.878,0.51,0.3,0.418,0.429,NaN,0.255,0.019,0.414,0.173,NaN,NaN,NaN,1.049,0.005,0.364,0.319,0.076,0.703,0.014,0.145,0.216,0.24,0.497,0.55,0.003,0.159,0.062,0.141,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.124,0.444,0.87,0.953,0.002,0.601,0.877,0.885,1.361,1.053,0.464,1.089,0.925,1.074,0.761,1.173,0.076,1.02,0.316,1.037,0.668,0.499,0.541,1.006,1.127,0.792,0.259,0.892,1.08,0.987,0.622,1.068,NaN,NaN,NaN,NaN,0.759,0.911,1.04,1.142,0.44,0.736,0.983,0.777,0.693,0.709,0.805,1.098,0.643,1.018,0.785
