"","15C","No Treatment"
"RCK2SSN3",0.574053087805528,0.87146109839911
"RCK2EFH1",0.673592598857124,0.858863895944072
"TPK2",0.94201571838971,0.918634803570544
"TPK2CAT1",0.620719945596809,0.92937857082787
"TPK2TYE7",0.729249561402279,0.927644014530762
"TPK2YAK1",1.00180765451906,0.89954908509706
"TPK2HSP30",0.990927299956385,0.920264162057704
"TPK2PDE2",NA,NA
"TPK2TPS2",0.852379089014267,1.00464666214813
"TPK2MSN4",1.20919176359916,0.972328774164997
"TPK2PTC1",1.08294176681124,0.952694615352694
"TPK2TPK1",1.1766679564807,0.95388296110282
"TPK2C1_12120W_A",0.730800898034402,0.901635815526561
"TPK2SSK1",0.78802744409605,0.967449251656045
"TPK2FGR15",0.653488272584389,0.909520582540085
"TPK2HOG1",0.732610963410357,0.852344422435082
"TPK2SSN3",0.992925599723574,0.951395705376657
"TPK2EFH1",1.06808929793291,0.90734816221575
"TPK2RCK2",0.497599547542676,0.903115048016266
"GCN4",0.758644760621538,0.873728227160448
"GCN4CAT1",1.08199325608439,0.989792294132966
"GCN4TYE7",0.701551040673666,0.878605655652129
"GCN4YAK1",0.795178712388086,0.881762452253638
"GCN4HSP30",1.03596649729939,0.929694297518548
"GCN4PDE2",0.414837796089263,0.827105302789828
"GCN4TPS2",0.451640056449754,0.895311558086917
"GCN4MSN4",0.885811182798537,0.942176692784205
"GCN4PTC1",0.984086227566873,0.929382964955666
"GCN4TPK1",0.4370593693691,0.913419836586452
"GCN4C1_12120W_A",0.622306909745324,0.940881217051814
"GCN4SSK1",0.660493187845241,0.949737739125542
"GCN4FGR15",1.14110511633721,0.882612428189879
"GCN4HOG1",0.626129204438588,0.597318445147894
"GCN4SSN3",0.516596863080808,0.917783126681608
"GCN4EFH1",1.05702342759814,0.917904152497666
"GCN4RCK2",1.18473962824773,0.93760020495826
"GCN4TPK2",0.74507951452353,0.96571169875748
"C2_10540W_A",0.736976434103365,0.917544109488684
"C2_10540W_ACAT1",0.831953552572332,0.976993529374228
"C2_10540W_ATYE7",0.603187780190027,0.996612152146785
"C2_10540W_AYAK1",0.487925644722138,0.878409912478008
"C2_10540W_AHSP30",0.720183191745862,0.960280074211555
"C2_10540W_APDE2",0.496794756864703,0.841624202784173
"C2_10540W_ATPS2",0.803860173426631,0.926095164276435
"C2_10540W_AMSN4",0.669168435460592,0.954979457201109
"C2_10540W_APTC1",0.958347966557884,0.983506921447141
"C2_10540W_ATPK1",0.66725916437812,0.997819794526645
"C2_10540W_AC1_12120W_A",0.704779568232565,1.00074716746387
"C2_10540W_ASSK1",1.0980077489766,0.901486496679218
"C2_10540W_AFGR15",0.506385921135467,0.967893279051709
"C2_10540W_AHOG1",0.429762640710885,0.831848487758061
"C2_10540W_ASSN3",0.726911100348038,0.958448966306678
"C2_10540W_AEFH1",0.760073692216993,0.926541600257383
"C2_10540W_ARCK2",0.0865868947842204,0.86802285604573
"C2_10540W_ATPK2",1.12333443196474,0.939670028353094
"C2_10540W_AGCN4",0.647963943141057,0.893355898299695
"C3_00570C_A",1.32886923142032,1.00732855423705
"C3_00570C_ACAT1",0.994621834029417,1.00440573381483
"C3_00570C_ATYE7",0.717034360036992,0.923203879624318
"C3_00570C_AYAK1",1.10388397598884,0.928823796175723
"C3_00570C_AHSP30",1.14923810802876,0.980562776942464
"C3_00570C_APDE2",0.324083512508292,0.726088747041709
"C3_00570C_ATPS2",0.308953563392703,0.988700291844651
"C3_00570C_AMSN4",0.982307763257702,0.992940451908842
"C3_00570C_APTC1",1.33557862943704,1.05443730730332
