"","15C_R1_lower","15C_R1_upper","15C_R2_lower","15C_R2_upper","15C_R3_lower","15C_R3_upper","No Treatment_R1_lower","No Treatment_R1_upper","No Treatment_R2_lower","No Treatment_R2_upper","No Treatment_R3_lower","No Treatment_R3_upper"
"FGR15HSP30",0.00120898192975009,0.976857399238073,0.00245384053308322,1.02570534282879,0.0141101954000763,0.510318733636093,1.10543356548258,0.999968172309331,1.14181511322783,0.93829112094975,0.937456599231517,0.967403129484746
"FGR15PDE2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FGR15TPS2",NA,0.0120898192975009,NA,0.802405854318214,NA,0.64906898840351,NA,0.967417125033636,NA,1.03582658050794,NA,0.875610504143327
"FGR15MSN4",0.0145077831570011,1.02158973063883,0.0110422823988745,1.02447842256225,0.0435064358169019,1.22288360133995,1.02145186351129,0.96806814597915,0.979256013964188,0.905129064699966,1.00320876348317,0.997349659737975
"FGR15PTC1",0.0713299338552553,1.05181427888258,0.0466229701285812,1.4919350441146,0.196366885984395,0.840732475921213,1.04488861754979,0.995411025690733,0.974704359184806,0.959098685655496,0.971309198648211,0.971309198648211
"FGR15TPK1",0.0906736447312567,0.336096976470525,0.0392614485293316,0.671125385798262,0.150508750934147,0.472691545902556,1.12236011006594,0.949839559504761,1.0306246893315,0.87716889962662,1.01818202860979,0.929644460904588
"FGR15C1_12120W_A",0.00604490964875045,0.0108808373677508,0.00368076079962484,0.0134961229319577,0.0317479396501717,0.0752543754670736,0.962208957469525,0.655578092132484,0.875868426832511,0.970802940802478,0.964148071848526,1.04877957039026
"FGR15SSK1",0.013298801227251,1.12193523080808,0.0110422823988745,0.891971033775752,0.0188135938667684,1.26756588677352,0.797500658254512,0.856743564296275,0.204174228675136,1.05143225403725,0.47849347252442,0.951127841303643
"HOG1",0.6685670071518,0.6685670071518,1.01098229963029,1.01098229963029,1.19701490977314,1.19701490977314,0.959604873687469,0.959604873687469,0.772480839700833,0.772480839700833,0.983027406138605,0.983027406138605
"HOG1CAT1",0.899482555734067,1.14732385133284,0.250291734374489,1.13490124655099,1.26521418754017,0.91363515215494,0.973927334488775,1.0077804236555,0.847908261759164,1.01957067058157,0.994745613628999,1.01167191333735
"HOG1TYE7",0.0386874217520029,0.835406513457312,0.119011265854536,1.10668208042053,0.437416057402365,1.24287304482339,0.931610973030372,1.03512330336708,0.804992659553562,0.706156727201267,0.647756469607888,0.955684921994352
"HOG1YAK1",0.891019682225816,0.67702988066005,0.282191661304571,1.10545516015399,0.81251208512106,0.841908325537886,0.960906915578497,1.03642534525811,0.931788756979204,0.799790768377125,0.923785357159391,0.949825818249155
"HOG1HSP30",1.10984541151058,0.66494006136255,1.01834382122954,0.884609512176502,1.28285193179027,0.593804056419878,0.934866077757942,0.968719166924664,0.682097980510248,0.909030483082294,0.919879287995926,1.0168800055553
"HOG1PDE2",0.00120898192975009,0.0181347289462514,0.00122692026654161,0.0110422823988745,0.00587924808336512,0.0246928419501335,0.96806814597915,0.623678065802304,0.808243841538835,0.401846093379726,0.904906022869312,0.85868420443498
"HOG1TPS2",NA,0.235751476301268,NA,0.569291003675308,NA,1.16173942127295,NA,1.01363961216512,NA,0.959748922052551,NA,1.03575933984538
"HOG1MSN4",0.899482555734067,0.0447323314007533,0.885836432443044,1.14594352894987,1.11940883507272,0.629079544920068,1.05270086889596,1.0546539317325,0.852459916538546,0.667142543377993,1.08067913522522,0.55921890190269
"HOG1PTC1",1.06148613432058,0.546459832247041,0.918963279639667,0.49444886741627,0.924217798704998,0.626727845686722,1.00843144460101,0.780574113671151,0.741269492642214,0.525391008820095,0.917926253414194,0.674447942224897
"HOG1TPK1",0.00483592771900036,0.0580311326280043,0.0134961229319577,1.11895128308595,0.0764302250837466,0.445647004719076,0.676410762388929,1.07158047631586,0.434357913232455,0.810194550729999,0.710253576223323,0.885375677051988
"HOG1C1_12120W_A",0.228497584722767,0.722971193990554,0.918963279639667,0.558248721276433,1.08060579772251,0.819567182821098,1.0266600310754,0.799453721091053,0.93829112094975,0.636581432716428,0.81441542058238,0.37237859358363
"HOG1SSK1",0.0955095724502571,1.06269511625033,0.818355817783255,1.18152421667957,1.00887897110546,1.22758699980664,0.799453721091053,1.09631927224539,0.765978475730288,0.995511923890552,0.589165432155919,0.983027406138605
"HOG1FGR15",0.600864019085795,0.094300590520507,0.737379080191509,0.207349525045532,1.14880507548955,0.145805352467455,0.974578355434289,1.11845398439286,0.547499046319951,0.937640884552695,0.92053029952317,1.0494305819175
"SSN3",0.602073001015545,0.602073001015545,0.288326262637279,0.288326262637279,0.384502824652079,0.384502824652079,0.930308931139345,0.930308931139345,0.979256013964188,0.979256013964188,1.00646382111939,1.00646382111939
"SSN3CAT1",1.44836035184061,0.826943639949062,1.25882019347169,1.31771236626569,1.39103009652419,0.629079544920068,1.00843144460101,1.01429063311064,0.878469372420729,0.873267481244292,0.984329429193093,1.01232292486459
"SSN3TYE7",0.778584362759058,1.18963821887409,0.761917485522341,1.16312041268145,0.930097046788363,0.863073618638,1.02535798918437,0.982390606780455,0.968852231611315,0.747121620215705,0.999302694319707,0.835247789454192
"SSN3YAK1",0.80518196521356,1.3105364118491,0.693209950596011,1.25759327320515,0.759598852370774,1.22170775172327,0.936819140594483,0.985645711508025,0.922035211023385,0.976655068375969,0.89514084996065,0.976517290866164
"SSN3HSP30",1.2839388093946,1.03126158607683,1.2060626220104,1.15330505054911,1.16409112050629,1.10529863967264,1.00712940270998,0.968719166924664,0.966251286023096,0.96820199521426,0.996698648210731,0.958939979630573
