Gene_X,Gene_Y,P-value (exp_vs_XY),P-value adj (exp_vs_XY),P-value (exp_vs_YX),P-value adj (exp_vs_YX),P-value (actual_XY_vs_YX),P-value adj (actual_XY_vs_YX),P-value (exp_vs_average_XY_YX),P-value adj (exp_vs_average_XY_YX),Significant
SKN7,PTC1,0.6380200725848568,0.7990736831402576,,,,,0.6380200725848568,0.7644578716497317,0.0
SKN7,MSN4,0.11537521386636951,0.2645938238002074,0.43727779541986905,0.5911606461692469,0.07023179051059952,0.1790004528216229,0.114021891637799,0.3082721291302047,0.0
SKN7,TPS2,0.03163065327953676,0.12652261311814705,,,,,0.03163065327953676,0.16536727504038518,0.0
SKN7,HSP30,0.8520552584152981,0.9223523730610249,0.352669124119057,0.5142636453872317,0.27360425388821075,0.4228816933771326,0.43613072389321694,0.601901838174398,0.0
SKN7,YAK1,0.07616890943113915,0.2059850193704666,0.44677285080259616,0.6005322782452969,0.051264841096905274,0.1495862154394773,0.6566085353955042,0.7764656489994455,0.0
SKN7,TYE7,0.4387194496640766,0.6270892964727521,0.6459803167439192,0.7741901506014909,0.3929118049236369,0.5334323462678543,0.35772639963658287,0.541129274577166,0.0
SKN7,CAT1,0.22505990777001325,0.4090546043026765,0.3540200082022014,0.5146401971087557,0.0006097677990283674,0.01254837944316272,0.8661959877905212,0.9202762481162291,0.0
PDE1,RHB1,0.006677990567364431,0.05301297127323148,,,,,0.006677990567364431,0.07654004573363847,0.0
PDE1,C3_00570C_A,0.3501188893355988,0.5345010263229851,0.06143347567081531,0.21556940624240406,0.2945817242655371,0.44214941754848897,0.07952416376565678,0.2561967654288186,0.0
PDE1,C2_10540W_A,0.021348996964473763,0.09663230204972335,,,,,0.021348996964473763,0.1298367570492486,0.0
PDE1,GCN4,0.018556853824865223,0.08948912685635939,0.06928797687557503,0.22200433407072,3.1758103166661984e-05,0.002483483667632967,0.7428881571660308,0.8369779615708023,0.0
PDE1,TPK2,0.157263860235783,0.32201647572088904,,,,,0.157263860235783,0.36935701438218577,0.0
PDE1,RCK2,0.013224301021408029,0.07754249235280163,0.6389263297439143,0.7696529445252778,0.02125106363311586,0.0822689691143396,0.13900310986735745,0.34331985135689363,0.0
PDE1,EFH1,0.0053826019807372665,0.04629037703434049,0.011417158547434405,0.07682116679773722,0.1891669338903433,0.3229880836293635,0.002609639650394886,0.04320403421209311,0.0
PDE1,SSN3,0.032231728799616784,0.12736757072335458,0.27631252597596007,0.45188611018985136,0.13432059070415914,0.26129030331008074,0.10071152702617206,0.2883048771295353,0.0
PDE1,HOG1,0.07915005127799603,0.21052281680126778,0.06205529159321012,0.21556940624240406,0.3770028533539203,0.5190426607795171,0.007631631549845808,0.07801527238519035,0.0
PDE1,FGR15,0.004819213157218269,0.04287437912283839,,,,,0.004819213157218269,0.061111724291533796,0.0
PDE1,SSK1,0.011218787949239032,0.0714678343433005,,,,,0.011218787949239032,0.086705607188138,0.0
PDE1,C1_12120W_A,0.0014704377064044185,0.020941720164203967,,,,,0.0014704377064044185,0.03279423759947843,0.0
PDE1,TPK1,0.060203535453974895,0.18208153724345677,0.08178943576817,0.2405774014125441,0.1715182677407509,0.3119239194727144,0.08643154642155156,0.2641702649602294,0.0
PDE1,PTC1,0.11325925840537289,0.2609007916838054,0.41386370869596895,0.569781836334871,0.28865581357791165,0.43916117941230914,0.17345567215092628,0.3887208693742386,0.0
PDE1,MSN4,0.07624639282899054,0.2059850193704666,0.05704998262875576,0.20356471074351487,0.6457213542705242,0.7469735192892751,0.026351522000161512,0.15101449146246404,0.0
PDE1,TPS2,0.05538058674505095,0.17214688409907403,0.15447851796518294,0.3277449637909962,0.052170143026929745,0.1508561134968296,0.27627350457184635,0.4691139849709984,0.0
PDE1,HSP30,0.17468158246119156,0.3466757559614417,0.009588571063415862,0.07463379501663607,0.09358309863009025,0.2102930549676166,0.04208970917593186,0.18888274043507824,0.0
PDE1,YAK1,0.17352807231551226,0.345716159516619,0.14405704209757475,0.31706012536428835,0.9539938704604146,0.9613701117268612,0.06315022821296636,0.2231251627947008,0.0
PDE1,TYE7,0.6150123904312605,0.7816413632082031,0.15359665282500842,0.3273485225365564,0.046268211453333666,0.1391605436788728,0.6754758256073562,0.7893795922784005,0.0
PDE1,CAT1,0.09938472326602327,0.24128759017176077,0.07104219542911783,0.2260869868048277,0.317598385653098,0.45992951403837523,0.052047398242775766,0.209596279410097,0.0
MIG1,PDE1,0.009724243325638138,0.06690279408039039,0.10425979276372566,0.2693982941101674,0.1165793233518667,0.2386519132491093,0.011183626419762227,0.086705607188138,0.0
MIG1,SKN7,0.09251356456055392,0.23061352325239529,,,,,0.09251356456055392,0.27255937196770313,0.0
MIG1,PBS2,0.9589762252481542,0.9721645033949854,0.29374875947552254,0.4611855523765704,0.17908037038627675,0.3176818253753736,0.5597115389307099,0.7037723147736352,0.0
MIG1,RHB1,0.4665906806667991,0.6436215050104136,,,,,0.4665906806667991,0.6221209075557321,0.0
