Gene_X,Gene_Y,P-value (exp_vs_XY),P-value adj (exp_vs_XY),P-value (exp_vs_YX),P-value adj (exp_vs_YX),P-value (actual_XY_vs_YX),P-value adj (actual_XY_vs_YX),P-value (exp_vs_average_XY_YX),P-value adj (exp_vs_average_XY_YX),Significant
C1_12120W_A,PTC1,0.6047996705017613,0.9885303562766522,0.9111010671772012,0.9664599820036173,0.4745213027342762,0.6588014203009853,0.8148949465673595,0.9499685313426952,0.0
C1_12120W_A,MSN4,0.31749231264135563,0.8639954737453284,0.2836432485631317,0.5530733404115531,0.7586918965625872,0.8610550889559521,0.12030723474253362,0.6215873795030904,0.0
C1_12120W_A,TPS2,0.01699009280069587,0.35254442561443927,0.8232952925478393,0.9206380267795616,0.13252571253679335,0.3866812723866826,0.2500044093198777,0.7484021942340532,0.0
C1_12120W_A,PDE2,0.00784506958251321,0.31796842182789437,0.662881968063096,0.8248073343075163,0.017813542518524433,0.22430466049727776,0.3202307315528214,0.7484021942340532,0.0
C1_12120W_A,HSP30,0.8321206152946474,0.9885303562766522,,,,,0.8321206152946474,0.9499685313426952,0.0
C1_12120W_A,TYE7,0.2944453291550638,0.8639954737453284,0.16154177783508972,0.4648653914232233,0.7052544554195308,0.821755009281689,0.0927109823185083,0.5432497326616718,0.0
C1_12120W_A,CAT1,0.5222093976212523,0.9885303562766522,0.49352148868471896,0.6995130665705147,0.11725828421181136,0.3866812723866826,0.89786993174635,0.978093152245624,0.0
SSK1,C1_12120W_A,0.8318486936319798,0.9885303562766522,0.42925539985182165,0.6563039182209354,0.5878681833333954,0.7439393824484561,0.538383270426213,0.8182338156370922,0.0
SSK1,TPK1,0.06480932606041341,0.4830743740119307,0.2095926740674238,0.5173666897652088,0.004574254529575827,0.10901973295489054,0.030171042572418014,0.3741209278979834,0.0
SSK1,PTC1,0.24988419943894832,0.8596721745437845,0.47518877783181396,0.6811686445491905,0.1288870846633327,0.3866812723866826,0.9940833505324704,0.9940833505324704,0.0
SSK1,MSN4,0.5327911391509381,0.9885303562766522,0.449668038516717,0.6637258454568468,0.9592543805814921,0.9728608256961232,0.32314961918968743,0.7484021942340532,0.0
SSK1,TPS2,0.03472189778075018,0.41170250225746646,0.7152858265217128,0.8502885248561088,0.018822768713058276,0.22430466049727776,0.41741487990040993,0.7545821700816334,0.0
SSK1,PDE2,0.6096864460074443,0.9885303562766522,0.0746346133486433,0.4131309645236796,0.00690833474032785,0.12348648348336032,0.1463044248009612,0.6803155753244696,0.0
SSK1,HSP30,0.5837972552675317,0.9885303562766522,0.38153099514740113,0.6128367842453422,0.6293028143700321,0.7893886180255666,0.3686076826975072,0.7484021942340532,0.0
SSK1,YAK1,0.23538418189271032,0.8596721745437845,0.14735371024315982,0.4648653914232233,0.08339462366647628,0.3866812723866826,0.049862195120099644,0.441636585349454,0.0
SSK1,TYE7,0.6281164163069561,0.9885303562766522,0.18895343900904973,0.5133235093079185,0.12625638852403254,0.3866812723866826,0.21973514418482706,0.7298345860424613,0.0
FGR15,SSK1,0.20755717456058678,0.8596721745437845,0.5232848399624254,0.716768310200633,0.06343943095926186,0.38288278463050707,0.6089398032751991,0.8864168670204263,0.0
